transform_mode,wavelet,level,threshold_method,percentile,low_threshold_ratio,use_gradient_assist,gradient_weight,gradient_mode,use_nms,use_morphological_closing,precision,recall,f1_score,tolerance_radius
swt,haar,1,otsu,80.0,0.2,True,0.15,multiply,False,True,0.5114311343523706,0.5575644986664313,0.5132973743319028,1
dwt,haar,1,otsu,80.0,0.2,True,0.15,multiply,False,True,0.39371042971930076,0.8053327477150196,0.47083858373774995,1
dwt,haar,2,otsu,80.0,0.2,True,0.15,multiply,False,True,0.3381398110949862,0.8095064781406665,0.4316744563233061,1
dwt,db2,1,otsu,80.0,0.2,True,0.15,multiply,False,True,0.3024411235944698,0.8354586119864714,0.4102185057681647,1
dwt,sym2,1,otsu,80.0,0.2,True,0.15,multiply,False,True,0.3024411235944698,0.8354586119864714,0.4102185057681647,1
dwt,sym2,2,otsu,80.0,0.2,True,0.15,multiply,False,True,0.27279321344110846,0.8223386152736695,0.38436100791146116,1
dwt,db2,2,otsu,80.0,0.2,True,0.15,multiply,False,True,0.27279321344110846,0.8223386152736695,0.38436100791146116,1
swt,haar,2,otsu,80.0,0.2,True,0.15,multiply,False,True,0.2786839802334654,0.7029135138753592,0.3791250428789264,1
swt,db2,1,otsu,80.0,0.2,True,0.15,multiply,False,True,0.3137245345122906,0.4892419706522923,0.3766711144027624,1
swt,sym2,1,otsu,80.0,0.2,True,0.15,multiply,False,True,0.3137245345122906,0.4892419706522923,0.3766711144027624,1
swt,sym2,2,otsu,80.0,0.2,True,0.15,multiply,False,True,0.24716820831451738,0.7493937348463452,0.36287195659378085,1
swt,db2,2,otsu,80.0,0.2,True,0.15,multiply,False,True,0.24716820831451738,0.7493937348463452,0.36287195659378085,1
dwt,db2,1,otsu,80.0,0.2,True,0.15,multiply,True,True,0.45133652780080075,0.33431246057634195,0.32677133741673187,1
dwt,sym2,1,otsu,80.0,0.2,True,0.15,multiply,True,True,0.45133652780080075,0.33431246057634195,0.32677133741673187,1
swt,db2,1,otsu,80.0,0.2,True,0.15,multiply,True,True,0.4681557336670226,0.2003521473222534,0.266135611562666,1
swt,sym2,1,otsu,80.0,0.2,True,0.15,multiply,True,True,0.4681557336670226,0.2003521473222534,0.266135611562666,1
dwt,haar,1,otsu,80.0,0.2,True,0.15,multiply,True,True,0.5710180629760573,0.26136107101605116,0.26256991972849497,1
dwt,db2,2,otsu,80.0,0.2,True,0.15,multiply,True,True,0.39953937985224974,0.2416385264902162,0.2551265162521756,1
dwt,sym2,2,otsu,80.0,0.2,True,0.15,multiply,True,True,0.39953937985224974,0.2416385264902162,0.2551265162521756,1
swt,db2,2,otsu,80.0,0.2,True,0.15,multiply,True,True,0.3559640673334333,0.22752714730478793,0.24371666127481575,1
swt,sym2,2,otsu,80.0,0.2,True,0.15,multiply,True,True,0.3559640673334333,0.22752714730478793,0.24371666127481575,1
dwt,haar,2,otsu,80.0,0.2,True,0.15,multiply,True,True,0.5231201763758695,0.230002160158877,0.24113653271697433,1
swt,haar,1,otsu,80.0,0.2,True,0.15,multiply,True,True,0.5632065983391829,0.2136724955220358,0.22831172504760333,1
dwt,haar,2,percentile,80.0,0.2,True,0.15,multiply,False,True,0.1237258597834449,0.9876101361487528,0.21421670619898311,1
dwt,haar,1,percentile,80.0,0.2,True,0.15,multiply,False,True,0.12154482576036542,0.9952042467147632,0.21246030841589691,1
swt,haar,2,percentile,80.0,0.2,True,0.15,multiply,False,True,0.11453761899823607,0.9838943133623005,0.20167234313541305,1
swt,sym2,2,percentile,80.0,0.2,True,0.15,multiply,False,True,0.11425561981374012,0.91032857818883,0.20166515391356807,1
swt,db2,2,percentile,80.0,0.2,True,0.15,multiply,False,True,0.11425561981374012,0.91032857818883,0.20166515391356807,1
swt,db2,1,percentile,80.0,0.2,True,0.15,multiply,False,True,0.11423801736338125,0.8704016054520838,0.20065529936601445,1
swt,sym2,1,percentile,80.0,0.2,True,0.15,multiply,False,True,0.11423801736338125,0.8704016054520838,0.20065529936601445,1
dwt,sym2,2,percentile,80.0,0.2,True,0.15,multiply,False,True,0.11187341912034691,0.8981107910352958,0.1965511534832809,1
dwt,db2,2,percentile,80.0,0.2,True,0.15,multiply,False,True,0.11187341912034691,0.8981107910352958,0.1965511534832809,1
swt,haar,1,percentile,80.0,0.2,True,0.15,multiply,False,True,0.11010212632690607,0.9934260536785914,0.195941839144569,1
dwt,db2,1,percentile,80.0,0.2,True,0.15,multiply,False,True,0.0918239271459475,0.9160005768635028,0.16399846702408552,1
dwt,sym2,1,percentile,80.0,0.2,True,0.15,multiply,False,True,0.0918239271459475,0.9160005768635028,0.16399846702408552,1
dwt,haar,2,percentile,80.0,0.2,True,0.15,multiply,True,True,0.09464276614855645,0.6351390232429233,0.16008090249600682,1
dwt,haar,1,percentile,80.0,0.2,True,0.15,multiply,True,True,0.0838683030871716,0.7057281536407319,0.14731180487630913,1
swt,sym2,1,percentile,80.0,0.2,True,0.15,multiply,True,True,0.07821915189505226,0.7748900173367478,0.14071474867934586,1
swt,db2,1,percentile,80.0,0.2,True,0.15,multiply,True,True,0.07821915189505226,0.7748900173367478,0.14071474867934586,1
swt,haar,2,otsu,80.0,0.2,True,0.15,multiply,True,True,0.29688295158046446,0.1208652231752169,0.13789590029874374,1
swt,haar,1,percentile,80.0,0.2,True,0.15,multiply,True,True,0.0777295320101369,0.6923896460561375,0.1366734999705921,1
swt,haar,2,percentile,80.0,0.2,True,0.15,multiply,True,True,0.07944485732978447,0.5799496629522493,0.1364573993521042,1
dwt,sym2,2,percentile,80.0,0.2,True,0.15,multiply,True,True,0.0752608116885214,0.6331344357943118,0.13258697653014628,1
dwt,db2,2,percentile,80.0,0.2,True,0.15,multiply,True,True,0.0752608116885214,0.6331344357943118,0.13258697653014628,1
dwt,db2,1,percentile,80.0,0.2,True,0.15,multiply,True,True,0.0713957559070298,0.7837420096030757,0.12973546783469095,1
dwt,sym2,1,percentile,80.0,0.2,True,0.15,multiply,True,True,0.0713957559070298,0.7837420096030757,0.12973546783469095,1
swt,db2,2,percentile,80.0,0.2,True,0.15,multiply,True,True,0.07226209348237872,0.6604929021009771,0.12840844249789155,1
swt,sym2,2,percentile,80.0,0.2,True,0.15,multiply,True,True,0.07226209348237872,0.6604929021009771,0.12840844249789155,1
